datetime,Change_NQ,Change_ES,Change_YM,SMT_NQ_ES,SMT_NQ_YM,RS,FVG_Bullish,FVG_Bearish,Sweep_High,Sweep_Low,Bullish_Setup,Bearish_Setup,Target
2024-01-02 09:00:00,-0.0005611946125316255,4.199475065612978e-05,-5.291145268388531e-05,1,0,1,0,0,0,0,0,0,0
2024-01-02 09:10:00,-0.00019543655640783723,-0.00027303467540376673,5.293666128472462e-05,0,1,2,0,0,0,0,0,0,0
2024-01-02 09:30:00,4.886988393398121e-05,-0.0001261166579085702,0.0,1,1,0,0,1,0,0,0,0,0
2024-01-02 09:55:00,-4.8893778266810055e-05,0.0,0.0,1,1,1,0,0,0,0,0,0,0
2024-01-02 11:05:00,-0.0014930853016766948,-0.0010103774180647445,0.0,0,1,2,0,1,0,1,0,0,0
2024-01-02 11:25:00,-0.0014501302659392218,-0.00092897559327759,-0.0003192253464925236,0,0,2,0,1,0,0,0,0,0
2024-01-02 11:30:00,-0.00044315328179626477,-0.0003803888419273179,-2.6621233095492772e-05,0,0,2,0,1,0,0,0,0,1
2024-01-02 11:35:00,-0.0003202128183654255,-0.0006130948605736953,0.0,0,1,2,0,0,0,0,0,0,1
2024-01-02 11:40:00,-0.00012317394624691787,-8.460415829442345e-05,-0.0002664109121910239,0,0,1,0,1,0,0,0,0,1
2024-01-02 11:45:00,-0.00014776869273963716,0.0004653327128897739,0.0,1,1,1,0,0,0,0,0,0,0
2024-01-02 11:55:00,0.0003940789635723874,0.00038055772849321726,0.0,0,1,0,1,0,0,0,0,0,0
2024-01-02 12:00:00,-0.00039390433048579486,-0.0005073459465173007,-0.00029295834664965815,0,0,2,0,0,0,0,0,0,0
2024-01-02 12:05:00,-0.00022165303910952572,-4.2299395118611335e-05,-0.0002664890073285083,0,0,1,0,0,0,0,0,0,0
2024-01-02 12:10:00,2.4632968765513224e-05,0.00021151486949537362,0.0,0,1,1,0,0,0,0,0,0,0
2024-01-02 12:25:00,-0.0003202364823253983,-8.462026655376269e-05,-5.331200852987288e-05,0,0,2,0,0,0,0,0,0,0
2024-01-02 12:30:00,0.0003943314849045595,-2.1157752200386987e-05,-7.997227627748438e-05,1,1,0,0,0,0,0,0,0,0
2024-01-02 12:35:00,-0.00022422021875025117,-0.0003597046190305239,0.0,0,1,2,0,0,0,0,0,0,0
2024-01-02 12:45:00,-0.0001232620057193851,-0.0002963088384694446,0.0,0,1,2,0,0,0,0,0,0,0
2024-01-02 12:50:00,-0.0007891491985203284,-0.0006140035146408513,0.0,0,1,2,0,0,0,0,0,0,0
2024-01-02 12:55:00,-0.00044425796579215343,-0.0004449152542372448,-0.00010673497705188287,0,0,2,0,0,0,0,0,0,1
2024-01-02 13:00:00,-0.008104600768835244,-0.002325026386164055,0.00018681611956229832,0,1,2,0,0,1,0,0,0,1
2024-01-02 13:05:00,-0.01062322946175643,2.118688955272549e-05,5.334471353883978e-05,1,1,2,0,0,0,0,0,0,1
2024-01-02 13:10:00,-0.00024691358024696975,-0.0004450095359185835,-0.00013341160147274276,0,0,2,0,0,0,0,0,0,1
2024-01-02 13:25:00,0.00019754549719728395,2.1197668256472508e-05,0.0,0,1,0,0,0,0,0,0,0,1
2024-01-02 13:30:00,0.0012097570610308914,0.0011234764175940069,0.0009339559706471588,0,0,0,0,0,0,0,0,0,1
2024-01-02 13:35:00,-0.0006413512513870611,-0.0005928560841856265,-0.0002133674721288315,0,0,2,0,0,0,0,0,0,1
2024-01-02 13:45:00,-2.466334533613897e-05,-0.0002541834357127823,-0.0002134130075229177,0,0,0,0,0,0,0,0,0,1
2024-01-02 13:50:00,0.00014799102187801168,2.118868524206146e-05,0.0,0,1,0,0,0,0,0,0,0,1
2024-01-02 14:00:00,-0.0009121613292902511,-0.0011650320913384198,-0.00024001280068278795,0,0,2,0,0,0,0,0,0,1
2024-01-02 14:05:00,0.001110480467882409,0.0013148407346142523,0.0,0,1,1,0,0,0,0,0,0,0
2024-01-02 14:10:00,0.00036974044220951284,0.00021180158427589854,0.0,0,1,0,0,0,0,0,0,0,0
2024-01-02 14:15:00,7.268874433284394e-05,0.0,2.6668088964720532e-05,1,0,0,0,0,0,0,0,0,0
2024-01-02 14:20:00,0.00041888428937516246,0.00019055684946003596,2.6668800170656063e-05,0,0,0,0,0,0,0,0,0,0
2024-01-02 14:25:00,-0.00022170764152331624,-0.0005080440304825408,-0.00032001706757694954,0,0,0,0,0,0,0,0,0,0
2024-01-02 14:30:00,-0.001848018923713779,0.0010801423246356973,0.0038954108858057085,1,1,2,0,0,0,0,0,0,0
2024-01-02 14:35:00,-0.0018008343824828389,-0.0015867307000655849,-0.001647752943365149,0,0,1,0,0,0,0,0,0,0
2024-01-02 14:40:00,-0.001335377615114547,-0.0002542803865061971,0.0006654599659284497,0,1,2,0,0,0,0,0,0,0
2024-01-02 14:45:00,-0.002315388044178105,-0.0008478348417728949,0.00025962280211741523,0,1,2,0,0,0,0,0,0,1
2024-01-02 14:50:00,-0.00019856536523612918,5.303407969968733e-05,-0.0002393298763463152,1,0,1,0,0,0,0,0,0,1
2024-01-02 14:55:00,0.0019115712122340107,0.001792437821498585,0.0015161187360357305,0,0,0,0,0,0,0,0,0,0
2024-01-02 15:00:00,0.000879638233290016,0.0005949923243872869,0.0002655760344185635,0,0,0,0,0,0,0,0,0,0
2024-01-02 15:05:00,-0.0010397583799574587,-0.0005713560182833541,-5.3095465647185435e-05,0,0,2,0,0,0,0,0,0,0
2024-01-02 15:10:00,-0.0007558298019972493,-0.0003813254287529929,-0.0001327492366917683,0,0,2,0,0,0,0,0,0,0
2024-01-02 15:15:00,-0.0007935720662632506,-0.00012708633398289052,-0.00015931600329253677,0,0,1,0,0,0,0,0,0,0
2024-01-02 15:20:00,0.001191273918546691,0.0003495318391730298,0.00010622477161679537,0,0,0,0,0,0,0,0,0,0
2024-01-02 15:25:00,-0.0019084802062418057,-0.000995277724837531,-0.0004513953426622127,0,0,2,0,0,0,0,0,0,0
2024-01-02 15:30:00,-0.0010431154381083823,-0.000540517625113923,-2.6565364078290533e-05,0,0,2,0,0,0,0,0,0,1
2024-01-02 15:35:00,-0.00029834418974691596,0.0,0.0003719249774188044,1,1,2,0,0,0,0,0,0,1
2024-01-02 15:40:00,0.000945085555113399,0.0007425081122351543,0.0008497304761147403,0,0,0,0,0,0,0,0,0,1
2024-01-02 15:45:00,-0.001515678576752862,-0.00042384555068130763,0.0003184037359371804,0,1,2,0,0,0,0,0,0,1
2024-01-02 15:50:00,0.0005723386253918313,6.40278432072169e-05,-0.00021219596297176224,0,1,0,0,0,0,0,0,0,1
2024-01-02 15:55:00,0.0006839434938321581,-4.239983040063984e-05,-0.00013265766363325824,1,1,0,0,0,0,0,0,0,1
